target,source,Coste,player
Bournemouth,QPR,Fin de cesión 30/06/2023,Jamal LoweJ. Lowe
Bournemouth,FC Lorient,Fin de cesión 31/01/2024,Romain FaivreR. Faivre
Bournemouth,Southampton,Fin de cesión 31/05/2024,David BrooksD. Brooks
Bournemouth,Blackburn,Fin de cesión 10/01/2024,James HillJ. Hill
Bournemouth,Southampton,Fin de cesión 31/05/2024,Joe RothwellJ. Rothwell
Bournemouth,Ipswich,Fin de cesión 31/05/2024,Kieffer MooreK. Moore
Stoke City,Bournemouth,"1,50 mill. €",Ben PearsonB. Pearson
Norwich,Bournemouth,Libre,Jack StaceyJ. Stacey
Crystal Palace,Bournemouth,Libre,Jefferson LermaJ. Lerma
Udinese,Bournemouth,Libre,Jordan ZemuraJ. Zemura
Nápoles,Bournemouth,Cesión,Hamed Junior TraorèH. Traorè
Portsmouth FC,Bournemouth,?,Christian SaydeeC. Saydee
Birmingham,Bournemouth,?,Siriki DembéléS. Dembélé
Leeds,Bournemouth,Cesión,Jaidon AnthonyJ. Anthony
Stoke City,Bournemouth,Cesión,Mark TraversM. Travers
Hibernian FC,Bournemouth,Cesión,Emiliano MarcondesE. Marcondes
FC Lorient,Bournemouth,Cesión,Romain FaivreR. Faivre
Swansea City,Bournemouth,Cesión,Jamal LoweJ. Lowe
Kilmarnock FC,Bournemouth,Cesión,Will DennisW. Dennis
Fleetwood,Bournemouth,Cesión,Gavin KilkennyG. Kilkenny
Southampton,Bournemouth,Cesión,David BrooksD. Brooks
Blackburn,Bournemouth,Cesión,James HillJ. Hill
Southampton,Bournemouth,Cesión,Joe RothwellJ. Rothwell
Ipswich,Bournemouth,Cesión,Kieffer MooreK. Moore
Sin equipo,Bournemouth,-,Junior StanislasJ. Stanislas
AS Roma,Bournemouth,Fin de cesión 30/06/2023,Matías ViñaM. Viña
Sassuolo,Bournemouth,Fin de cesión 30/06/2023,Hamed Junior TraorèH. Traorè
Brentford,Wolverhampton,"26,85 mill. €",Nathan CollinsN. Collins
Brentford,SC Friburgo,"25,00 mill. €",Kevin SchadeK. Schade
Brentford,SC Friburgo,"13,00 mill. €",Mark FlekkenM. Flekken
Brentford,Sivasspor,"4,50 mill. €",Yunus Emre KonakY. Konak
Brentford,Elfsborg,"3,00 mill. €",Hákon Rafn ValdimarssonH. Valdimarsson
Brentford,Everton,Cesión,Neal MaupayN. Maupay
Brentford,Tottenham,Cesión,Sergio ReguilónS. Reguilón
Brentford,Brentford B,-,Ryan TrevittR. Trevitt
