target,source,Coste,player
Eintracht,Göztepe,Fin de cesión 30/06/2023,Ali AkmanAli Akman
Eintracht,FC St. Pauli,Fin de cesión 30/06/2023,Igor MatanovicI. Matanovic
Eintracht,KAA Gante,Fin de cesión 30/06/2023,Jens Petter HaugeJ. Hauge
Eintracht,Greuther Fürth,Fin de cesión 30/06/2023,Ragnar AcheR. Ache
Eintracht,RB Salzburgo,Fin de cesión 30/06/2023,Jérôme OnguénéJ. Onguéné
PSG,Eintracht,"95,00 mill. €",Randal Kolo MuaniR. Kolo Muani
Nápoles,Eintracht,"30,00 mill. €",Jesper LindstrømJ. Lindstrøm
Sevilla FC,Eintracht,"10,00 mill. €",Djibril SowD. Sow
Internacional,Eintracht,"6,50 mill. €",Rafael BorréR. Borré
Ajax,Eintracht,"5,00 mill. €",Diant RamajD. Ramaj
1.FC K'lautern,Eintracht,"1,00 mill. €",Ragnar AcheR. Ache
RB Leipzig,Eintracht,"1,00 mill. €",Christopher LenzC. Lenz
Internacional,Eintracht,500 mil €,Lucas AlarioL. Alario
Lazio,Eintracht,Libre,Daichi KamadaD. Kamada
Delaware,Eintracht,Libre,Jan SchröderJ. Schröder
AS Roma,Eintracht,Libre,Evan NdickaE. Ndicka
1.FC Nürnberg,Eintracht,Cesión,Nathaniel BrownN. Brown
BSC Young Boys,Eintracht,Cesión,Aurèle AmendaA. Amenda
FCV Dender EH,Eintracht,?,Ali AkmanAli Akman
Karlsruher SC,Eintracht,Cesión,Igor MatanovicI. Matanovic
Servette FC,Eintracht,Cesión,Jérôme OnguénéJ. Onguéné
Bodø/Glimt,Eintracht,Cesión,Jens Petter HaugeJ. Hauge
1.FC Nürnberg,Eintracht,Cesión,Marcel WenigM. Wenig
FC Augsburgo,Eintracht,Cesión,Kristijan JakicK. Jakic
Werder Bremen,Eintracht,Cesión,Rafael BorréR. Borré
Vitesse,Eintracht,Cesión,Paxten AaronsonP. Aaronson
Colonia,Eintracht,Cesión,Faride AlidouF. Alidou
Mainz,Eintracht,Cesión,Jessic NgankamJ. Ngankam
Sin equipo,Eintracht,-,Almamy TouréA. Touré
PSV Eindhoven,Eintracht,Fin de cesión 30/06/2023,Philipp MaxP. Max
PSG,Eintracht,Fin de cesión 30/06/2023,Junior Dina EbimbeJ. Dina Ebimbe
Bor. Dortmund,Eintracht,Fin de cesión 30/06/2023,Ansgar KnauffA. Knauff
VfL Wolfsburgo,Stade Rennes,"25,00 mill. €",Lovro MajerL. Majer
VfL Wolfsburgo,Atalanta,"12,20 mill. €",Joakim MaehleJ. Maehle
VfL Wolfsburgo,FC Lorient,"8,00 mill. €",Moritz JenzM. Jenz
VfL Wolfsburgo,FC Twente,"8,00 mill. €",Vaclav CernyV. Cerny
VfL Wolfsburgo,Sporting Lisboa,"8,00 mill. €",Tiago TomásT. Tomás
VfL Wolfsburgo,Sassuolo,"5,50 mill. €",RogérioRogério
VfL Wolfsburgo,BSC Young Boys,"5,00 mill. €",Cédric ZesigerC. Zesiger
VfL Wolfsburgo,Unión Berlín,"2,00 mill. €",Kevin BehrensK. Behrens
VfL Wolfsburgo,Lyon,"Coste de cesión: 1,00 mill. €",Amin SarrAmin Sarr
VfL Wolfsburgo,Wolfsburg U19,-,Felix LangeF. Lange
VfL Wolfsburgo,Wolfsburg U19,-,Lukas AmbrosL. Ambros
VfL Wolfsburgo,NAC Breda,Fin de cesión 30/06/2023,Anselmo García MacNultyA. García MacNulty
VfL Wolfsburgo,NAC Breda,Fin de cesión 30/06/2023,Fabio Di Michele SanchezF. Di Michele Sanchez
VfL Wolfsburgo,Vitesse,Fin de cesión 30/06/2023,Bartosz BialekB. Bialek
VfL Wolfsburgo,Werder Bremen,Fin de cesión 30/06/2023,Maximilian PhilippM. Philipp
VfL Wolfsburgo,SKN St. Pölten,Fin de cesión 30/06/2023,Ulysses LlanezU. Llanez
VfL Wolfsburgo,Heidenheim,Fin de cesión 30/06/2023,Tim SierslebenT. Siersleben
VfL Wolfsburgo,Nurernberg II,Fin de cesión 10/07/2023,Yun-sang HongY. Hong
VfL Wolfsburgo,Nurernberg II,Fin de cesión 30/06/2023,Bryang KayoB. Kayo
VfL Wolfsburgo,Lecce,Fin de cesión 30/06/2023,Marin PongračićM. Pongračić
VfL Wolfsburgo,AC Milan,Fin de cesión 30/06/2023,Aster VranckxA. Vranckx
Tottenham,VfL Wolfsburgo,"40,00 mill. €",Micky van de VenM. van de Ven
Bor. Dortmund,VfL Wolfsburgo,"30,00 mill. €",Felix NmechaF. Nmecha
Lecce,VfL Wolfsburgo,"1,60 mill. €",Marin PongračićM. Pongračić
Heidenheim,VfL Wolfsburgo,500 mil €,Tim SierslebenT. Siersleben
PEC Zwolle,VfL Wolfsburgo,Libre,Anselmo García MacNultyA. García MacNulty
Eintracht,VfL Wolfsburgo,Libre,Omar MarmoushO. Marmoush
Al-Sadd SC,VfL Wolfsburgo,Libre,Paulo OtávioPaulo Otávio
FC Ingolstadt,VfL Wolfsburgo,Libre,Bryang KayoB. Kayo
Pohang Steelers,VfL Wolfsburgo,?,Yun-sang HongY. Hong
Saarbrücken,VfL Wolfsburgo,?,Fabio Di Michele SanchezF. Di Michele Sanchez
SC Friburgo,VfL Wolfsburgo,Cesión,Maximilian PhilippM. Philipp
FC Nantes,VfL Wolfsburgo,Cesión,Nicolas CozzaN. Cozza
Colonia,VfL Wolfsburgo,Cesión,Luca WaldschmidtL. Waldschmidt
KAS Eupen,VfL Wolfsburgo,Cesión,Bartosz BialekB. Bialek
Darmstadt 98,VfL Wolfsburgo,Cesión,Bartol FranjicB. Franjic
SV Rödinghausen,VfL Wolfsburgo,Cesión,Felix LangeF. Lange
SC Freiburg II,VfL Wolfsburgo,Cesión,Lukas AmbrosL. Ambros
Hallescher FC,VfL Wolfsburgo,Cesión,Philipp SchulzeP. Schulze
Sin equipo,VfL Wolfsburgo,-,Josuha GuilavoguiJ. Guilavogui
Mainz,RB Leipzig,"5,00 mill. €",Tom KraußT. Krauß
Mainz,Hertha Berlín,"3,00 mill. €",Marco RichterM. Richter
Mainz,PSV Eindhoven,"1,00 mill. €",Phillipp MweneP. Mwene
Mainz,B. Leverkusen,"1,00 mill. €",Nadiem AmiriN. Amiri
Mainz,Saarbrücken,?,Daniel BatzD. Batz
Mainz,Liverpool,Cesión,Sepp van den BergS. van den Berg
Mainz,Eintracht,Cesión,Jessic NgankamJ. Ngankam
Mainz,Sin equipo,-,Josuha GuilavoguiJ. Guilavogui
Mainz,Sin equipo,-,Anwar El GhaziA. El Ghazi
Mainz,FSV Mainz 05 II,-,Lucas LauxL. Laux
Mainz,SV Sandhausen,Fin de cesión 30/06/2023,Merveille PapelaM. Papela
Mainz,SV Elversberg,Fin de cesión 30/06/2023,Ben BobzienB. Bobzien
Mainz,FC Schalke 04,Fin de cesión 02/01/2024,Niklas TauerN. Tauer
Mainz,RCD Espanyol,Fin de cesión 30/06/2023,Ronaël Pierre-GabrielR. Pierre-Gabriel
Mainz,Hansa Rostock,Fin de cesión 30/06/2023,Anderson LucoquiA. Lucoqui
Mainz,Lens,Fin de cesión 30/06/2023,Angelo FulginiA. Fulgini
Hoffenheim,Mainz,"11,00 mill. €",Anton StachA. Stach
Lens,Mainz,"7,20 mill. €",Angelo FulginiA. Fulgini
Nordsjælland,Mainz,"2,95 mill. €",Marcus IngvartsenM. Ingvartsen
Al-Qadsiah,Mainz,"1,50 mill. €",Alexander HackA. Hack
Como,Mainz,900 mil €,Marlon MustaphaM. Mustapha
Hertha Berlín,Mainz,Libre,Anderson LucoquiA. Lucoqui
FC Nantes,Mainz,Libre,Ronaël Pierre-GabrielR. Pierre-Gabriel
FC Augsburgo,Mainz,Libre,Finn DahmenF. Dahmen
Génova,Mainz,Libre,Aarón MartínA. Martín
SV Sandhausen,Mainz,Cesión,Lucas LauxL. Laux
Huddersfield,Mainz,Cesión,Delano BurgzorgD. Burgzorg
Hertha Berlín,Mainz,Cesión,Aymen BarkokA. Barkok
A. Lustenau,Mainz,Cesión,Ben BobzienB. Bobzien
E. Braunschweig,Mainz,Cesión,Niklas TauerN. Tauer
FSV Mainz 05 II,Mainz,-,Eniss ShabaniE. Shabani
Sin equipo,Mainz,-,Anwar El GhaziA. El Ghazi
Bor. M'gladbach,Sparta Praga,"10,50 mill. €",Tomas CvancaraT. Cvancara
Bor. M'gladbach,Stade Brestois,"8,00 mill. €",Franck HonoratF. Honorat
Bor. M'gladbach,Benfica,"7,18 mill. €",Julian WeiglJ. Weigl
Bor. M'gladbach,Werder Bremen,"2,00 mill. €",Fabio ChiarodiaF. Chiarodia
Bor. M'gladbach,Arm. Bielefeld,"1,10 mill. €",Robin HackR. Hack
Bor. M'gladbach,Leeds,Coste de cesión: 500 mil €,Maximilian WöberM. Wöber
Bor. M'gladbach,Unión Berlín,Coste de cesión: 200 mil €,JordanJordan
Bor. M'gladbach,Hertha BSC II,Libre,Lukas UllrichL. Ullrich
Bor. M'gladbach,FC Bayern II,Libre,Grant-Leon RanosG. Ranos
Bor. M'gladbach,M'gladbach II,-,Shio FukudaS. Fukuda
Bor. M'gladbach,SV Meppen,Fin de cesión 30/06/2023,Jonas KerskenJ. Kersken
Bor. M'gladbach,Burnley,Fin de cesión 30/06/2023,Jordan BeyerJ. Beyer
Bor. M'gladbach,Sint-Truiden,Fin de cesión 30/06/2023,Rocco ReitzR. Reitz
Bor. M'gladbach,Roda JC,Fin de cesión 30/06/2023,Moritz NicolasM. Nicolas
Burnley,Bor. M'gladbach,"15,00 mill. €",Jordan BeyerJ. Beyer
B. Leverkusen,Bor. M'gladbach,"10,00 mill. €",Jonas HofmannJ. Hofmann
New York City,Bor. M'gladbach,Libre,Hannes WolfH. Wolf
Bor. Dortmund,Bor. M'gladbach,Libre,Ramy BensebainiR. Bensebaini
Inter,Bor. M'gladbach,Libre,Marcus ThuramM. Thuram
Karlsruher SC,Bor. M'gladbach,Libre,Lars StindlL. Stindl
Blau Weiss Linz,Bor. M'gladbach,?,Conor NoßC. Noß
Blackburn,Bor. M'gladbach,?,Semir TelalovicS. Telalovic
NEC Nijmegen,Bor. M'gladbach,Cesión,Yvandro Borges SanchesY. Borges Sanches
Arm. Bielefeld,Bor. M'gladbach,Cesión,Jonas KerskenJ. Kersken
FC Utrecht,Bor. M'gladbach,Cesión,Oscar FrauloO. Fraulo
Benfica,Bor. M'gladbach,Fin de cesión 30/06/2023,Julian WeiglJ. Weigl
Colonia,Sampdoria,"2,50 mill. €",Jeff ChabotJ. Chabot
Colonia,FC St. Pauli,Libre,Leart PaçaradaL. Paçarada
Colonia,RB Leipzig U19,Libre,Jonas NickischJ. Nickisch
Colonia,Nordsjælland,Libre,Jacob ChristensenJ. Christensen
Colonia,Hoffenheim,Libre,Philipp PentkeP. Pentke
Colonia,Unión Berlín,?,Dominique HeintzD. Heintz
Colonia,VfL Wolfsburgo,Cesión,Luca WaldschmidtL. Waldschmidt
Colonia,KRC Genk,Cesión,Rasmus CarstensenR. Carstensen
Colonia,Eintracht,Cesión,Faride AlidouF. Alidou
Colonia,1.FC Köln U19,-,Damion DownsD. Downs
Colonia,1.FC Köln U19,-,Max FinkgräfeM. Finkgräfe
Colonia,1.FC Köln U19,-,Elias BakatukandaE. Bakatukanda
Colonia,Colonia II,-,Justin DiehlJ. Diehl
Colonia,Holstein Kiel,Fin de cesión 30/06/2023,Marvin ObuzM. Obuz
Colonia,Hamburgo,Fin de cesión 30/06/2023,Noah KatterbachN. Katterbach
Colonia,Hellas Verona,Fin de cesión 30/06/2023,Ondrej DudaO. Duda
Colonia,J. Regensburg,Fin de cesión 30/06/2023,Jonas UrbigJ. Urbig
Hellas Verona,Colonia,"3,10 mill. €",Ondrej DudaO. Duda
Swansea City,Colonia,Libre,Kristian PedersenK. Pedersen
Panathinaikos,Colonia,Libre,Dimitrios LimniosD. Limnios
Samsunspor,Colonia,Libre,Kingsley SchindlerK. Schindler
Eintracht,Colonia,Libre,Ellyes SkhiriE. Skhiri
Hamburgo,Colonia,Libre,Noah KatterbachN. Katterbach
Greuther Fürth,Colonia,Cesión,Tim LemperleT. Lemperle
RW Essen,Colonia,Cesión,Marvin ObuzM. Obuz
Greuther Fürth,Colonia,Cesión,Jonas UrbigJ. Urbig
Yverdon Sport,Colonia,Cesión,Mathias OlesenM. Olesen
1.FC K'lautern,Colonia,Cesión,Nikola SoldoN. Soldo
Sin equipo,Colonia,-,Timo HornTimo Horn
Retirado,Colonia,-,Jonas HectorJ. Hector
Sin equipo,Colonia,-,Sebastian AnderssonS. Andersson
Sampdoria,Colonia,Fin de cesión 30/06/2023,Jeff ChabotJ. Chabot
Hoffenheim,FC Augsburgo,"14,00 mill. €",Mergim BerishaM. Berisha
Hoffenheim,Fenerbahce,"12,30 mill. €",Attila SzalaiA. Szalai
Hoffenheim,Mainz,"11,00 mill. €",Anton StachA. Stach
Hoffenheim,FC Schalke 04,"3,00 mill. €",Marius BülterM. Bülter
Hoffenheim,SC Paderborn,"2,00 mill. €",Julian JustvanJ. Justvan
Hoffenheim,Burnley,"Coste de cesión: 1,50 mill. €",Wout WeghorstW. Weghorst
Hoffenheim,Benfica,Coste de cesión: 500 mil €,David JurásekD. Jurásek
Hoffenheim,Ajax,Libre,Florian GrillitschF. Grillitsch
Hoffenheim,Hoffenheim II,-,Tim DrexlerT. Drexler
Hoffenheim,Hoffenheim II,-,Joshua QuarshieJ. Quarshie
Hoffenheim,Hoffenheim II,-,Bambasé ContéB. Conté
Hoffenheim,Hoffenheim U19,-,Max MoerstedtM. Moerstedt
Hoffenheim,Olympiacos,Fin de cesión 30/06/2023,Diadié SamassékouD. Samassékou
Hoffenheim,FC Basilea,Fin de cesión 30/06/2023,Kasim AdamsK. Adams
Hoffenheim,Bolonia,Fin de cesión 30/06/2023,Stefan PoschS. Posch
Hoffenheim,Ceará SC,Fin de cesión 01/07/2023,Lucas RibeiroLucas Ribeiro
Hoffenheim,PEC Zwolle,Fin de cesión 30/06/2023,Melayro BogardeM. Bogarde
Hoffenheim,Greuther Fürth,Fin de cesión 30/06/2023,Marco JohnM. John
Hoffenheim,Hannover 96,Fin de cesión 30/06/2023,Maximilian BeierM. Beier
RB Leipzig,Hoffenheim,"25,50 mill. €",Christoph BaumgartnerC. Baumgartner
VfB Stuttgart,Hoffenheim,"5,50 mill. €",Angelo StillerA. Stiller
Bolonia,Hoffenheim,"5,00 mill. €",Stefan PoschS. Posch
Shabab Al-Ahli,Hoffenheim,"1,50 mill. €",Munas DabburM. Dabbur
Ceará SC,Hoffenheim,Libre,Lucas RibeiroLucas Ribeiro
Colonia,Hoffenheim,Libre,Philipp PentkeP. Pentke
Unión Berlín,Hoffenheim,?,Kevin VogtK. Vogt
Austria Viena,Hoffenheim,Cesión,Fisnik AsllaniF. Asllani
Burnley,Hoffenheim,Cesión,Jacob Bruun LarsenJ. Bruun Larsen
F. Düsseldorf,Hoffenheim,Cesión,Joshua QuarshieJ. Quarshie
Cádiz CF,Hoffenheim,Cesión,Diadié SamassékouD. Samassékou
Darmstadt 98,Hoffenheim,Cesión,Julian JustvanJ. Justvan
Hannover 96,Hoffenheim,Cesión,Muhammed DamarM. Damar
SC Friburgo,Hoffenheim,Cesión,Attila SzalaiA. Szalai
Sin equipo,Hoffenheim,-,Ermin BicakcicE. Bicakcic
Hoffenheim II,Hoffenheim,-,Melayro BogardeM. Bogarde
Sin equipo,Hoffenheim,-,Sebastian RudyS. Rudy
Dallas,Hoffenheim,Fin de cesión 30/06/2023,Justin CheJ. Che
RB Leipzig,Hoffenheim,Fin de cesión 30/06/2023,AngeliñoAngeliño
Niza,Hoffenheim,Fin de cesión 30/06/2023,Kasper DolbergK. Dolberg
Sporting Lisboa,Hoffenheim,Fin de cesión 30/06/2023,Eduardo QuaresmaE. Quaresma
Sevilla FC,Hoffenheim,Fin de cesión 30/06/2023,Thomas DelaneyT. Delaney
Werder Bremen,Círculo Brujas,"4,00 mill. €",Olivier DemanO. Deman
Werder Bremen,Union SG,"2,25 mill. €",Senne LynenS. Lynen
Werder Bremen,Def. y Justicia,"2,00 mill. €",Julián MalatiniJ. Malatini
Werder Bremen,Man Utd U21,250 mil €,Isak Hansen-AarøenI. Hansen-Aarøen
Werder Bremen,Lyon,Coste de cesión: 250 mil €,Skelly AlveroS. Alvero
Werder Bremen,Liverpool,Libre,Naby KeïtaN. Keïta
Werder Bremen,F. Düsseldorf,Libre,Dawid KownackiD. Kownacki
Werder Bremen,Eintracht,Cesión,Rafael BorréR. Borré
Werder Bremen,W. Bremen U19,-,Leon OpitzL. Opitz
Werder Bremen,Millwall,Fin de cesión 30/06/2023,Oliver BurkeO. Burke
Werder Bremen,B. Dortmund II,Fin de cesión 30/06/2023,Justin NjinmahJ. Njinmah
Werder Bremen,Heracles Almelo,Fin de cesión 30/01/2024,Abdenego NankishiA. Nankishi
Werder Bremen,J. Regensburg,Fin de cesión 30/06/2023,Oscar SchönfelderO. Schönfelder
Werder Bremen,1.FC K'lautern,Fin de cesión 30/06/2023,Nicolai RappN. Rapp
Werder Bremen,SC Freiburg II,Fin de cesión 30/06/2023,Yannik EngelhardtY. Engelhardt
Werder Bremen,SV Elversberg,Fin de cesión 30/06/2023,Nick WoltemadeN. Woltemade
Werder Bremen,Dynamo Dresden,Fin de cesión 30/06/2023,Kyu-hyun ParkK. Park
Bor. Dortmund,Werder Bremen,"17,00 mill. €",Niclas FüllkrugN. Füllkrug
Leeds,Werder Bremen,"6,50 mill. €",Ilia GruevI. Gruev
Toulouse,Werder Bremen,"2,50 mill. €",Niklas SchmidtN. Schmidt
Bor. M'gladbach,Werder Bremen,"2,00 mill. €",Fabio ChiarodiaF. Chiarodia
Birmingham,Werder Bremen,"1,50 mill. €",Lee BuchananL. Buchanan
SC Freiburg II,Werder Bremen,900 mil €,Yannik EngelhardtY. Engelhardt
Eintracht,Werder Bremen,Fin de cesión 04/03/2024,Rafael BorréR. Borré
J. Regensburg,Werder Bremen,260 mil €,Oscar SchönfelderO. Schönfelder
Dynamo Dresden,Werder Bremen,150 mil €,Kyu-hyun ParkK. Park
Karlsruher SC,Werder Bremen,Libre,Nicolai RappN. Rapp
Viborg FF,Werder Bremen,?,Jean Manuel MbomJ. Mbom
Heidenheim,Werder Bremen,Cesión,Eren DinkciE. Dinkci
1860 München,Werder Bremen,Cesión,Abdenego NankishiA. Nankishi
FC Volendam,Werder Bremen,Cesión,Mio BackhausM. Backhaus
Birmingham,Werder Bremen,Cesión,Oliver BurkeO. Burke
Juve Next Gen,Werder Bremen,Cesión,Dikeni SalifouD. Salifou
VfL Wolfsburgo,Werder Bremen,Fin de cesión 30/06/2023,Maximilian PhilippM. Philipp
VfL Bochum,1.FC Magdeburg,"1,10 mill. €",Moritz-Broni KwartengM. Kwarteng
VfL Bochum,Vitesse,750 mil €,Maximilian WittekM. Wittek
VfL Bochum,RB Salzburgo,600 mil €,BernardoBernardo
VfL Bochum,FC St. Pauli,Libre,Lukas DaschnerL. Daschner
VfL Bochum,Bor. Dortmund,Libre,Felix PasslackF. Passlack
VfL Bochum,SC Verl,Libre,Niclas ThiedeN. Thiede
VfL Bochum,Grasshoppers,Libre,Noah LoosliN. Loosli
VfL Bochum,Vitesse,Libre,Matus BeroM. Bero
VfL Bochum,NK Varazdin,?,Agon EleziA. Elezi
VfL Bochum,1.FC K'lautern,?,Andreas LutheA. Luthe
VfL Bochum,RC Celta,Cesión,Gonçalo PaciênciaG. Paciência
VfL Bochum,SC Friburgo,Cesión,Keven SchlotterbeckK. Schlotterbeck
VfL Bochum,VfL Bochum U19,-,Mats PannewigM. Pannewig
VfL Bochum,SKN St. Pölten,Fin de cesión 30/06/2023,Luis HartwigL. Hartwig
VfL Bochum,RW Essen,Fin de cesión 30/06/2023,Moritz RömlingM. Römling
VfL Bochum,Antalyaspor,Fin de cesión 20/01/2024,Gerrit HoltmannG. Holtmann
VfL Bochum,Nîmes,Fin de cesión 30/06/2023,Lys MoussetL. Mousset
VfL Bochum,Wolfsberger AC,Fin de cesión 30/06/2023,Tim OermannT. Oermann
VfL Bochum,1.FC Nürnberg,Fin de cesión 30/06/2023,Jannes HornJ. Horn
OFI Creta,VfL Bochum,Libre,Vasilios LampropoulosV. Lampropoulos
BSC Young Boys,VfL Bochum,Libre,Silvere GanvoulaS. Ganvoula
Wieczysta,VfL Bochum,Libre,Jacek GoralskiJ. Goralski
1.FC Nürnberg,VfL Bochum,Libre,Jannes HornJ. Horn
KV Oostende,VfL Bochum,?,Luis HartwigL. Hartwig
FC St. Pauli,VfL Bochum,?,Simon ZollerS. Zoller
Wuppertaler SV,VfL Bochum,Cesión,Paul GraveP. Grave
Antalyaspor,VfL Bochum,Cesión,Gerrit HoltmannG. Holtmann
Darmstadt 98,VfL Bochum,Cesión,Gerrit HoltmannG. Holtmann
SC Wiedenbrück,VfL Bochum,Cesión,Mats PannewigM. Pannewig
PAS Giannina,VfL Bochum,Cesión,Jordi Osei-TutuJ. Osei-Tutu
Sin equipo,VfL Bochum,-,Lys MoussetL. Mousset
Sin equipo,VfL Bochum,-,Konstantinos StafylidisK. Stafylidis
Olympiacos,VfL Bochum,Fin de cesión 30/06/2023,Pierre KundeP. Kunde
Unión Berlín,VfL Bochum,Fin de cesión 30/06/2023,Dominique HeintzD. Heintz
Real Valladolid,VfL Bochum,Fin de cesión 30/06/2023,Saidy JankoS. Janko
Hamburgo,VfL Bochum,Fin de cesión 30/06/2023,Marko JohanssonM. Johansson
SC Friburgo,VfL Bochum,Fin de cesión 30/06/2023,Keven SchlotterbeckK. Schlotterbeck
FC Augsburgo,Fenerbahce,"4,00 mill. €",Mergim BerishaM. Berisha
FC Augsburgo,Karlsruher SC,"2,50 mill. €",Tim BreithauptT. Breithaupt
FC Augsburgo,Darmstadt 98,"2,20 mill. €",Phillip TietzP. Tietz
FC Augsburgo,Unión Berlín,950 mil €,Sven MichelS. Michel
FC Augsburgo,Arm. Bielefeld,Libre,Masaya OkugawaM. Okugawa
FC Augsburgo,Mainz,Libre,Finn DahmenF. Dahmen
FC Augsburgo,Darmstadt 98,Libre,Patric PfeifferP. Pfeiffer
FC Augsburgo,Fulham,Cesión,Kevin MbabuK. Mbabu
FC Augsburgo,Tottenham,Cesión,Japhet TangangaJ. Tanganga
FC Augsburgo,Olympiacos,Cesión,Pep BielPep Biel
FC Augsburgo,Eintracht,Cesión,Kristijan JakicK. Jakic
FC Augsburgo,FC Augsburg U19,-,Mert KömürM. Kömür
FC Augsburgo,FC Augsburg U19,-,Marcel LubikM. Lubik
FC Augsburgo,SV Sandhausen,Fin de cesión 30/06/2023,Raphael FrambergerR. Framberger
FC Augsburgo,A. Lustenau,Fin de cesión 30/06/2023,Henri KoudossouH. Koudossou
FC Augsburgo,Wolfsberger AC,Fin de cesión 30/06/2023,Maurice MaloneM. Malone
FC Augsburgo,J. Regensburg,Fin de cesión 30/06/2023,Lasse GüntherL. Günther
FC Augsburgo,Brøndby IF,Fin de cesión 30/06/2023,Frederik WintherF. Winther
FC Augsburgo,FC Ingolstadt,Fin de cesión 30/06/2023,Tim CivejaT. Civeja
FC Augsburgo,FC Groningen,Fin de cesión 30/06/2023,Ricardo PepiR. Pepi
FC Augsburgo,Estoril Praia,Fin de cesión 26/03/2024,Frederik WintherF. Winther
FC Augsburgo,RW Essen,Fin de cesión 30/06/2023,Felix GötzeF. Götze
FC Augsburgo,NK Varazdin,Fin de cesión 30/06/2023,Jozo StanicJ. Stanic
Hoffenheim,FC Augsburgo,"14,00 mill. €",Mergim BerishaM. Berisha
PSV Eindhoven,FC Augsburgo,"11,00 mill. €",Ricardo PepiR. Pepi
FC Basilea,FC Augsburgo,"2,00 mill. €",Maurice MaloneM. Malone
Hammarby,FC Augsburgo,"1,00 mill. €",Frederik WintherF. Winther
RW Essen,FC Augsburgo,100 mil €,Felix GötzeF. Götze
FSV Zwickau,FC Augsburgo,Libre,Benjamin LeneisB. Leneis
Ankaragücü,FC Augsburgo,Libre,Rafal GikiewiczR. Gikiewicz
FC St. Gallen,FC Augsburgo,?,Jozo StanicJ. Stanic
Arm. Bielefeld,FC Augsburgo,?,Noah Sarenren BazeeN. Sarenren Bazee
Saarbrücken,FC Augsburgo,?,Tim CivejaT. Civeja
SC Paderborn,FC Augsburgo,?,Aaron ZehnterA. Zehnter
SV Sandhausen,FC Augsburgo,Cesión,Daniel KleinD. Klein
St-Étienne,FC Augsburgo,Cesión,Nathanaël MbukuN. Mbuku
ADO Den Haag,FC Augsburgo,Cesión,Henri KoudossouH. Koudossou
St-Étienne,FC Augsburgo,Cesión,Irvin CardonaI. Cardona
Vejle BK,FC Augsburgo,Cesión,David ColinaD. Colina
Hamburgo,FC Augsburgo,Cesión,Masaya OkugawaM. Okugawa
Estoril Praia,FC Augsburgo,Cesión,Frederik WintherF. Winther
Wehen Wiesbaden,FC Augsburgo,Cesión,Lasse GüntherL. Günther
Retirado,FC Augsburgo,-,Julian BaumgartlingerJ. Baumgartlinger
Sin equipo,FC Augsburgo,-,Daniel CaligiuriD. Caligiuri
inactivo,FC Augsburgo,-,André HahnA. Hahn
Retirado,FC Augsburgo,-,Tobias StroblT. Strobl
Sporting B,FC Augsburgo,Fin de cesión 15/08/2023,Renato VeigaR. Veiga
Tottenham,FC Augsburgo,Fin de cesión 17/01/2024,Japhet TangangaJ. Tanganga
Génova,FC Augsburgo,Fin de cesión 30/06/2023,Kelvin YeboahK. Yeboah
Fenerbahce,FC Augsburgo,Fin de cesión 30/06/2023,Mergim BerishaM. Berisha
VfB Stuttgart,Stade Rennes,"9,00 mill. €",Serhou GuirassyS. Guirassy
VfB Stuttgart,Hoffenheim,"5,50 mill. €",Angelo StillerA. Stiller
VfB Stuttgart,SC Friburgo,"3,80 mill. €",Woo-yeong JeongW. Jeong
VfB Stuttgart,Vojvodina,"1,20 mill. €",Jovan MilosevicJ. Milosevic
VfB Stuttgart,Bayern Múnich,"Coste de cesión: 1,00 mill. €",Alexander NübelA. Nübel
VfB Stuttgart,Brighton,Coste de cesión: 700 mil €,Deniz UndavD. Undav
VfB Stuttgart,Hertha Berlín,500 mil €,Maximilian MittelstädtM. Mittelstädt
VfB Stuttgart,FC St. Gallen,450 mil €,Matej MaglicaM. Maglica
VfB Stuttgart,Unión Berlín,Coste de cesión: 200 mil €,Jamie LewelingJ. Leweling
VfB Stuttgart,FC St. Gallen,Coste de cesión: 100 mil €,Leonidas StergiouL. Stergiou
VfB Stuttgart,Toulouse,Cesión,Anthony RouaultA. Rouault
VfB Stuttgart,Brighton,Cesión,Mahmoud DahoudM. Dahoud
VfB Stuttgart,VfB Stuttg. U19,-,Dennis SeimenD. Seimen
VfB Stuttgart,Académico Viseu,Fin de cesión 30/06/2023,Roberto MassimoR. Massimo
VfB Stuttgart,Vitesse,Fin de cesión 30/06/2023,Mohamed SankohM. Sankoh
VfB Stuttgart,Blackburn,Fin de cesión 30/06/2023,Clinton MolaC. Mola
VfB Stuttgart,San Luis,Fin de cesión 31/12/2023,Mateo KlimowiczM. Klimowicz
VfB Stuttgart,Wisla Cracovia,Fin de cesión 30/06/2023,Momo CisséM. Cissé
VfB Stuttgart,Nordsjælland,Fin de cesión 30/06/2023,Wahid FaghirW. Faghir
Liverpool,VfB Stuttgart,"20,00 mill. €",Wataru EndoW. Endo
West Ham,VfB Stuttgart,"20,00 mill. €",Konstantinos MavropanosK. Mavropanos
Ajax,VfB Stuttgart,"8,00 mill. €",Borna SosaB. Sosa
SC Friburgo,VfB Stuttgart,"1,50 mill. €",Florian MüllerF. Müller
San Luis,VfB Stuttgart,750 mil €,Mateo KlimowiczM. Klimowicz
Central Coast,VfB Stuttgart,200 mil €,Alou KuolAlou Kuol
Legia Varsovia,VfB Stuttgart,Coste de cesión: 200 mil €,Gil DiasGil Dias
