,target,source,Coste,player
0,Brentford,Wolverhampton,"26,85 mill. €",Nathan CollinsN. Collins
1,Brentford,SC Friburgo,"25,00 mill. €",Kevin SchadeK. Schade
2,Brentford,SC Friburgo,"13,00 mill. €",Mark FlekkenM. Flekken
3,Brentford,Everton,Préstamo,Neal MaupayN. Maupay
4,Brentford,Brentford B,-,Ryan TrevittR. Trevitt
5,Brentford,Brentford B,-,Yegor YarmolyukY. Yarmolyuk
6,Brentford,Bolton,Fin de préstamo 31/05/2024,Paris MaghomaP. Maghoma
7,Brentford,Oxford United,Fin de préstamo 31/05/2024,Fin StevensF. Stevens
8,Brentford,Bristol Rovers,Fin de préstamo 31/05/2024,Matthew CoxM. Cox
9,Brentford,Exeter City,Fin de préstamo 31/05/2024,Ryan TrevittR. Trevitt
10,Brentford,Nordsjælland,Fin de préstamo 30/06/2023,Mads BidstrupM. Bidstrup
11,Brentford,Olympiakos,Fin de préstamo 30/06/2023,Sergi CanósS. Canós
12,Brentford,FC Groningen,Fin de préstamo 30/06/2023,Mads Bech SörensenM. Bech Sörensen
13,Brentford,De Graafschap,Fin de préstamo 30/06/2023,Joel ValenciaJ. Valencia
0,RB Salzburgo,Brentford,"6,00 mill. €",Mads BidstrupM. Bidstrup
1,Arsenal,Brentford,"Coste de préstamo: 3,34 mill. €",David RayaD. Raya
2,Galatasaray,Brentford,500 mil €,Halil DervisogluH. Dervisoglu
3,Valencia CF,Brentford,250 mil €,Sergi CanósS. Canós
4,Malmoe FF,Brentford,Libre,Pontus JanssonP. Jansson
5,Z. Sosnowiec,Brentford,Libre,Joel ValenciaJ. Valencia
6,Midtjylland,Brentford,?,Mads Bech SörensenM. Bech Sörensen
7,Bristol Rovers,Brentford,Préstamo,Matthew CoxM. Cox
8,Bolton,Brentford,Préstamo,Paris MaghomaP. Maghoma
9,Exeter City,Brentford,Préstamo,Ryan TrevittR. Trevitt
10,Sin equipo,Brentford,-,Tariqe FosuT. Fosu
11,Oxford United,Brentford,Préstamo,Fin StevensF. Stevens
12,SC Friburgo,Brentford,Fin de préstamo 30/06/2023,Kevin SchadeK. Schade
0,Brighton,Watford,"34,20 mill. €",João PedroJoão Pedro
1,Brighton,Lille,"27,00 mill. €",Carlos BalebaC. Baleba
2,Brighton,RSC Anderlecht,"20,00 mill. €",Bart VerbruggenB. Verbruggen
3,Brighton,Fiorentina,"17,00 mill. €",IgorIgor
4,Brighton,FCV Farul,"3,00 mill. €",Adrian MaziluA. Mazilu
5,Brighton,Liverpool,Libre,James MilnerJ. Milner
6,Brighton,Bor. Dortmund,Libre,Mahmoud DahoudM. Dahoud
7,Brighton,FC Barcelona,Préstamo,Ansu FatiAnsu Fati
8,Brighton,Brighton U21,-,Jensen WeirJ. Weir
9,Brighton,Brighton U21,-,Marc LeonardM. Leonard
10,Brighton,Brighton U21,-,Reda KhadraR. Khadra
11,Brighton,Brighton U21,-,Ed TurnsEd Turns
12,Brighton,Brighton U21,-,Carl RushworthC. Rushworth
13,Brighton,Brighton U21,-,Andy MoranA. Moran
14,Brighton,Angers SCO,Fin de préstamo 30/06/2023,Abdallah SimaA. Sima
15,Brighton,West Brom,Fin de préstamo 31/05/2024,Jeremy SarmientoJ. Sarmiento
16,Brighton,FC Basilea,Fin de préstamo 30/06/2023,Andi ZeqiriA. Zeqiri
17,Brighton,Blackburn,Fin de préstamo 31/05/2024,Andy MoranA. Moran
18,Brighton,F. Düsseldorf,Fin de préstamo 30/06/2023,Michal KarbownikM. Karbownik
19,Brighton,Coventry City,Fin de préstamo 31/05/2024,Yasin AyariY. Ayari
20,Brighton,Vitesse,Fin de préstamo 30/06/2023,Kjell ScherpenK. Scherpen
21,Brighton,Standard Lieja,Fin de préstamo 30/06/2023,Steven AlzateS. Alzate
22,Brighton,Blackpool,Fin de préstamo 31/05/2024,Jensen WeirJ. Weir
23,Brighton,Rangers FC,Fin de préstamo 31/05/2024,Abdallah SimaA. Sima
24,Brighton,Leyton Orient,Fin de préstamo 31/05/2024,Ed TurnsEd Turns
25,Brighton,Swansea City,Fin de préstamo 31/05/2024,Carl RushworthC. Rushworth
26,Brighton,Northampton,Fin de préstamo 31/05/2024,Marc LeonardM. Leonard
27,Brighton,Union SG,Fin de préstamo 30/06/2023,Simon AdingraS. Adingra
0,Chelsea,Brighton,"116,00 mill. €",Moisés CaicedoM. Caicedo
1,Liverpool,Brighton,"42,00 mill. €",Alexis Mac AllisterA. Mac Allister
2,Chelsea,Brighton,"23,00 mill. €",Robert SánchezR. Sánchez
3,Hertha Berlín,Brighton,"2,50 mill. €",Michal KarbownikM. Karbownik
4,Stade Reims,Brighton,"1,90 mill. €",Reda KhadraR. Khadra
5,Hull City,Brighton,"1,35 mill. €",Aaron ConnollyA. Connolly
6,VfB Stuttgart,Brighton,Coste de préstamo: 700 mil €,Deniz UndavD. Undav
7,Bristol City,Brighton,Libre,Haydon RobertsH. Roberts
8,QPR,Brighton,?,Taylor RichardsT. Richards
9,Northampton,Brighton,Préstamo,Marc LeonardM. Leonard
