,target,source,Coste,player
4,FC Winterthur,SC Friburgo,300 mil €,Nishan BurkartN. Burkart
5,Blankenb. FV,SC Friburgo,Libre,Nils PetersenN. Petersen
6,Greuther Fürth,SC Friburgo,Préstamo,Robert WagnerR. Wagner
7,SC Paderborn,SC Friburgo,Préstamo,Kimberly EzekwemK. Ezekwem
8,VfL Bochum,SC Friburgo,Préstamo,Keven SchlotterbeckK. Schlotterbeck
9,Sin equipo,SC Friburgo,-,Jonathan SchmidJ. Schmid
0,B. Leverkusen,Southampton,"23,30 mill. €",Nathan TellaN. Tella
1,B. Leverkusen,Union SG,"20,50 mill. €",Victor BonifaceV. Boniface
2,B. Leverkusen,Arsenal,"15,00 mill. €",Granit XhakaG. Xhaka
3,B. Leverkusen,Bor. M'gladbach,"10,00 mill. €",Jonas HofmannJ. Hofmann
4,B. Leverkusen,América-MG,"7,00 mill. €",ArthurArthur
5,B. Leverkusen,Manchester Utd.,"5,00 mill. €",Matej KovarM. Kovar
6,B. Leverkusen,Benfica,Libre,Alejandro GrimaldoA. Grimaldo
7,B. Leverkusen,Bayern Múnich,Préstamo,Josip StanisicJ. Stanisic
8,B. Leverkusen,Leverkusen U19,-,Ayman AourirA. Aourir
9,B. Leverkusen,1.FC Nürnberg,Fin de préstamo 30/06/2023,Sadik FofanaS. Fofana
10,B. Leverkusen,1.FC Nürnberg,Fin de préstamo 30/06/2023,Gustavo PuertaG. Puerta
11,B. Leverkusen,Atl. Mineiro,Fin de préstamo 30/06/2023,PaulinhoPaulinho
12,B. Leverkusen,Unión Berlín,Fin de préstamo 30/06/2023,Lennart GrillL. Grill
0,Aston Villa,B. Leverkusen,"55,00 mill. €",Moussa DiabyM. Diaby
1,Atalanta,B. Leverkusen,"10,00 mill. €",Mitchel BakkerM. Bakker
2,Galatasaray,B. Leverkusen,"3,70 mill. €",Kerem DemirbayK. Demirbay
3,Fortuna Köln,B. Leverkusen,Libre,Joshua EzeJ. Eze
4,UD Las Palmas,B. Leverkusen,Libre,Daley SinkgravenD. Sinkgraven
5,Atl. Mineiro,B. Leverkusen,Libre,PaulinhoPaulinho
6,Qarabag FK,B. Leverkusen,Libre,Andrey LunevA. Lunev
7,B. Dortmund II,B. Leverkusen,Libre,Ayman AzhilA. Azhil
8,Unión Berlín,B. Leverkusen,?,Lennart GrillL. Grill
9,Fortuna Sittard,B. Leverkusen,Préstamo,Sadik FofanaS. Fofana
10,Brøndby IF,B. Leverkusen,Préstamo,Patrick PentzP. Pentz
11,AS Roma,B. Leverkusen,Préstamo,Sardar AzmounS. Azmoun
12,Sin equipo,B. Leverkusen,-,Karim BellarabiK. Bellarabi
13,Chelsea,B. Leverkusen,Fin de préstamo 30/06/2023,Callum Hudson-OdoiC. Hudson-Odoi
0,Eintracht,Toulouse,"10,00 mill. €",Farès ChaïbiF. Chaïbi
1,Eintracht,Malmoe FF,"9,00 mill. €",Hugo LarssonH. Larsson
2,Eintracht,Royal Amberes,"9,00 mill. €",Willian PachoW. Pacho
3,Eintracht,St-Étienne,"7,50 mill. €",Niels NkounkouN. Nkounkou
4,Eintracht,PSG,"6,50 mill. €",Junior Dina EbimbeJ. Dina Ebimbe
5,Eintracht,Bor. Dortmund,"5,00 mill. €",Ansgar KnauffA. Knauff
6,Eintracht,Hertha Berlín,"4,00 mill. €",Jessic NgankamJ. Ngankam
7,Eintracht,PSV Eindhoven,"2,00 mill. €",Philipp MaxP. Max
8,Eintracht,Flamengo U20,"1,60 mill. €",Kauã SantosK. Santos
9,Eintracht,B. Dortmund II,"1,00 mill. €",Nnamdi CollinsN. Collins
10,Eintracht,Leeds,Coste de préstamo: 500 mil €,Robin KochR. Koch
11,Eintracht,Colonia,Libre,Ellyes SkhiriE. Skhiri
12,Eintracht,VfL Wolfsburgo,Libre,Omar MarmoushO. Marmoush
13,Eintracht,SW Essen,Libre,Noel FutkeuN. Futkeu
14,Eintracht,Aucas U20,?,Davis BautistaD. Bautista
15,Eintracht,Greuther Fürth,?,Sidney RaebigerS. Raebiger
16,Eintracht,E. Frankfurt II,-,Dario GebuhrD. Gebuhr
17,Eintracht,E. Frankfurt II,-,Harpreet GhotraH. Ghotra
18,Eintracht,RB Salzburgo,Fin de préstamo 30/06/2023,Jérôme OnguénéJ. Onguéné
19,Eintracht,FC St. Pauli,Fin de préstamo 30/06/2023,Igor MatanovicI. Matanovic
20,Eintracht,Greuther Fürth,Fin de préstamo 30/06/2023,Ragnar AcheR. Ache
21,Eintracht,Göztepe,Fin de préstamo 30/06/2023,Ali AkmanAli Akman
22,Eintracht,KAA Gante,Fin de préstamo 30/06/2023,Jens Petter HaugeJ. Hauge
0,PSG,Eintracht,"95,00 mill. €",Randal Kolo MuaniR. Kolo Muani
1,Nápoles,Eintracht,"30,00 mill. €",Jesper LindstrømJ. Lindstrøm
2,Sevilla FC,Eintracht,"10,00 mill. €",Djibril SowD. Sow
3,Ajax,Eintracht,"4,00 mill. €",Diant RamajD. Ramaj
4,1.FC K'lautern,Eintracht,"1,00 mill. €",Ragnar AcheR. Ache
5,RB Leipzig,Eintracht,"1,00 mill. €",Christopher LenzC. Lenz
6,Delaware,Eintracht,Libre,Jan SchröderJ. Schröder
7,AS Roma,Eintracht,Libre,Evan NdickaE. Ndicka
8,Lazio,Eintracht,Libre,Daichi KamadaD. Kamada
9,FCV Dender EH,Eintracht,?,Ali AkmanAli Akman
10,Werder Bremen,Eintracht,Préstamo,Rafael BorréR. Borré
11,Servette FC,Eintracht,Préstamo,Jérôme OnguénéJ. Onguéné
12,Colonia,Eintracht,Préstamo,Faride AlidouF. Alidou
13,Karlsruher SC,Eintracht,Préstamo,Igor MatanovicI. Matanovic
14,Sin equipo,Eintracht,-,Almamy TouréA. Touré
15,Bor. Dortmund,Eintracht,Fin de préstamo 30/06/2023,Ansgar KnauffA. Knauff
16,PSG,Eintracht,Fin de préstamo 30/06/2023,Junior Dina EbimbeJ. Dina Ebimbe
17,PSV Eindhoven,Eintracht,Fin de préstamo 30/06/2023,Philipp MaxP. Max
0,VfL Wolfsburgo,Rennes,"25,00 mill. €",Lovro MajerL. Majer
1,VfL Wolfsburgo,Atalanta,"12,00 mill. €",Joakim MaehleJ. Maehle
2,VfL Wolfsburgo,FC Twente,"8,00 mill. €",Vaclav CernyV. Cerny
3,VfL Wolfsburgo,FC Lorient,"8,00 mill. €",Moritz JenzM. Jenz
4,VfL Wolfsburgo,Sporting Lisboa,"8,00 mill. €",Tiago TomásT. Tomás
5,VfL Wolfsburgo,Sassuolo,"5,50 mill. €",RogérioRogério
6,VfL Wolfsburgo,BSC Young Boys,"5,00 mill. €",Cédric ZesigerC. Zesiger
7,VfL Wolfsburgo,Lyon,"Coste de préstamo: 1,00 mill. €",Amin SarrAmin Sarr
8,VfL Wolfsburgo,Wolfsburg U19,-,Lukas AmbrosL. Ambros
9,VfL Wolfsburgo,Wolfsburg U19,-,Felix LangeF. Lange
10,VfL Wolfsburgo,Werder Bremen,Fin de préstamo 30/06/2023,Maximilian PhilippM. Philipp
11,VfL Wolfsburgo,AC Milan,Fin de préstamo 30/06/2023,Aster VranckxA. Vranckx
12,VfL Wolfsburgo,Vitesse,Fin de préstamo 30/06/2023,Bartosz BialekB. Bialek
13,VfL Wolfsburgo,Lecce,Fin de préstamo 30/06/2023,Marin PongracicM. Pongracic
14,VfL Wolfsburgo,NAC Breda,Fin de préstamo 30/06/2023,Fabio Di Michele SanchezF. Di Michele Sanchez
15,VfL Wolfsburgo,NAC Breda,Fin de préstamo 30/06/2023,Anselmo García MacNultyA. García MacNulty
16,VfL Wolfsburgo,Nurernberg II,Fin de préstamo 10/07/2023,Yun-sang HongY. Hong
17,VfL Wolfsburgo,Nurernberg II,Fin de préstamo 30/06/2023,Bryang KayoB. Kayo
18,VfL Wolfsburgo,SKN St. Pölten,Fin de préstamo 30/06/2023,Ulysses LlanezU. Llanez
19,VfL Wolfsburgo,Heidenheim,Fin de préstamo 30/06/2023,Tim SierslebenT. Siersleben
0,Tottenham,VfL Wolfsburgo,"40,00 mill. €",Micky van de VenM. van de Ven
1,Bor. Dortmund,VfL Wolfsburgo,"30,00 mill. €",Felix NmechaF. Nmecha
2,Lecce,VfL Wolfsburgo,"1,60 mill. €",Marin PongracicM. Pongracic
3,Heidenheim,VfL Wolfsburgo,500 mil €,Tim SierslebenT. Siersleben
4,Eintracht,VfL Wolfsburgo,Libre,Omar MarmoushO. Marmoush
5,Al-Sadd SC,VfL Wolfsburgo,Libre,Paulo OtávioPaulo Otávio
6,Pohang Steelers,VfL Wolfsburgo,?,Yun-sang HongY. Hong
7,PEC Zwolle,VfL Wolfsburgo,?,Anselmo García MacNultyA. García MacNulty
8,FC Ingolstadt,VfL Wolfsburgo,?,Bryang KayoB. Kayo
9,Saarbrücken,VfL Wolfsburgo,?,Fabio Di Michele SanchezF. Di Michele Sanchez
10,KAS Eupen,VfL Wolfsburgo,Préstamo,Bartosz BialekB. Bialek
11,Darmstadt 98,VfL Wolfsburgo,Préstamo,Bartol FranjicB. Franjic
12,SC Friburgo,VfL Wolfsburgo,Préstamo,Maximilian PhilippM. Philipp
13,SC Freiburg II,VfL Wolfsburgo,Préstamo,Lukas AmbrosL. Ambros
14,Colonia,VfL Wolfsburgo,Préstamo,Luca WaldschmidtL. Waldschmidt
15,Sin equipo,VfL Wolfsburgo,-,Josuha GuilavoguiJ. Guilavogui
0,Mainz,RB Leipzig,"5,00 mill. €",Tom KraußT. Krauß
1,Mainz,Hertha Berlín,"3,00 mill. €",Marco RichterM. Richter
2,Mainz,PSV Eindhoven,"1,00 mill. €",Phillipp MweneP. Mwene
3,Mainz,Saarbrücken,?,Daniel BatzD. Batz
4,Mainz,Liverpool,Préstamo,Sepp van den BergS. van den Berg
5,Mainz,FSV Mainz 05 II,-,Lucas LauxL. Laux
6,Mainz,SV Sandhausen,Fin de préstamo 30/06/2023,Merveille PapelaM. Papela
7,Mainz,Lens,Fin de préstamo 30/06/2023,Angelo FulginiA. Fulgini
8,Mainz,SV Elversberg,Fin de préstamo 30/06/2023,Ben BobzienB. Bobzien
9,Mainz,RCD Espanyol,Fin de préstamo 30/06/2023,Ronaël Pierre-GabrielR. Pierre-Gabriel
10,Mainz,Hansa Rostock,Fin de préstamo 30/06/2023,Anderson LucoquiA. Lucoqui
0,Hoffenheim,Mainz,"10,00 mill. €",Anton StachA. Stach
1,Lens,Mainz,"7,20 mill. €",Angelo FulginiA. Fulgini
2,Nordsjælland,Mainz,"2,95 mill. €",Marcus IngvartsenM. Ingvartsen
3,Al-Qadsiah FC,Mainz,"1,50 mill. €",Alexander HackA. Hack
4,Como,Mainz,900 mil €,Marlon MustaphaM. Mustapha
5,FC Augsburgo,Mainz,Libre,Finn DahmenF. Dahmen
6,Génova,Mainz,Libre,Aarón MartínA. Martín
7,FC Nantes,Mainz,Libre,Ronaël Pierre-GabrielR. Pierre-Gabriel
8,Hertha Berlín,Mainz,Libre,Anderson LucoquiA. Lucoqui
9,SV Sandhausen,Mainz,Préstamo,Lucas LauxL. Laux
10,Huddersfield,Mainz,Préstamo,Delano BurgzorgD. Burgzorg
11,A. Lustenau,Mainz,Préstamo,Ben BobzienB. Bobzien
0,Bor. M'gladbach,Sparta Praga,"10,50 mill. €",Tomas CvancaraT. Cvancara
1,Bor. M'gladbach,Stade Brestois,"8,00 mill. €",Franck HonoratF. Honorat
2,Bor. M'gladbach,Benfica,"7,18 mill. €",Julian WeiglJ. Weigl
3,Bor. M'gladbach,Werder Bremen,"2,00 mill. €",Fabio ChiarodiaF. Chiarodia
4,Bor. M'gladbach,Arm. Bielefeld,"1,10 mill. €",Robin HackR. Hack
5,Bor. M'gladbach,Leeds,Coste de préstamo: 500 mil €,Maximilian WöberM. Wöber
6,Bor. M'gladbach,Hertha BSC II,Libre,Lukas UllrichL. Ullrich
7,Bor. M'gladbach,FC Bayern II,Libre,Grant-Leon RanosG. Ranos
8,Bor. M'gladbach,Unión Berlín,Préstamo,JordanJordan
9,Bor. M'gladbach,M'gladbach II,-,Maximilian BrüllM. Brüll
10,Bor. M'gladbach,Sint-Truiden,Fin de préstamo 30/06/2023,Rocco ReitzR. Reitz
11,Bor. M'gladbach,Burnley,Fin de préstamo 30/06/2023,Jordan BeyerJ. Beyer
12,Bor. M'gladbach,Roda JC,Fin de préstamo 30/06/2023,Moritz NicolasM. Nicolas
13,Bor. M'gladbach,SV Meppen,Fin de préstamo 30/06/2023,Jonas KerskenJ. Kersken
0,Burnley,Bor. M'gladbach,"15,00 mill. €",Jordan BeyerJ. Beyer
1,B. Leverkusen,Bor. M'gladbach,"10,00 mill. €",Jonas HofmannJ. Hofmann
2,Karlsruher SC,Bor. M'gladbach,Libre,Lars StindlL. Stindl
3,Bor. Dortmund,Bor. M'gladbach,Libre,Ramy BensebainiR. Bensebaini
4,Inter,Bor. M'gladbach,Libre,Marcus ThuramM. Thuram
5,Blackburn,Bor. M'gladbach,?,Semir TelalovicS. Telalovic
6,Blau Weiss Linz,Bor. M'gladbach,?,Conor NoßC. Noß
7,Arm. Bielefeld,Bor. M'gladbach,Préstamo,Jonas KerskenJ. Kersken
8,FC Utrecht,Bor. M'gladbach,Préstamo,Oscar FrauloO. Fraulo
9,Benfica,Bor. M'gladbach,Fin de préstamo 30/06/2023,Julian WeiglJ. Weigl
0,Colonia,Sampdoria,"2,50 mill. €",Jeff ChabotJ. Chabot
1,Colonia,Hoffenheim,Libre,Philipp PentkeP. Pentke
2,Colonia,Nordsjælland,Libre,Jacob ChristensenJ. Christensen
3,Colonia,RB Leipzig U19,Libre,Jonas NickischJ. Nickisch
4,Colonia,FC St. Pauli,Libre,Leart PaqaradaL. Paqarada
5,Colonia,Unión Berlín,?,Dominique HeintzD. Heintz
6,Colonia,Eintracht,Préstamo,Faride AlidouF. Alidou
7,Colonia,KRC Genk,Préstamo,Rasmus CarstensenR. Carstensen
8,Colonia,VfL Wolfsburgo,Préstamo,Luca WaldschmidtL. Waldschmidt
9,Colonia,1.FC Köln U19,-,Elias BakatukandaE. Bakatukanda
10,Colonia,1.FC Köln U19,-,Max FinkgräfeM. Finkgräfe
11,Colonia,Holstein Kiel,Fin de préstamo 30/06/2023,Marvin ObuzM. Obuz
12,Colonia,Jahn Regensburg,Fin de préstamo 30/06/2023,Jonas UrbigJ. Urbig
13,Colonia,Hamburgo,Fin de préstamo 30/06/2023,Noah KatterbachN. Katterbach
14,Colonia,Hellas Verona,Fin de préstamo 30/06/2023,Ondrej DudaO. Duda
0,Hellas Verona,Colonia,"2,70 mill. €",Ondrej DudaO. Duda
1,Swansea City,Colonia,Libre,Kristian PedersenK. Pedersen
2,Eintracht,Colonia,Libre,Ellyes SkhiriE. Skhiri
3,Samsunspor,Colonia,Libre,Kingsley SchindlerK. Schindler
4,RW Essen,Colonia,Préstamo,Marvin ObuzM. Obuz
5,Greuther Fürth,Colonia,Préstamo,Jonas UrbigJ. Urbig
6,Greuther Fürth,Colonia,Préstamo,Tim LemperleT. Lemperle
7,1.FC K'lautern,Colonia,Préstamo,Nikola SoldoN. Soldo
8,Sin equipo,Colonia,-,Sebastian AnderssonS. Andersson
9,Sin equipo,Colonia,-,Timo HornTimo Horn
10,Retirado,Colonia,-,Jonas HectorJ. Hector
11,Sampdoria,Colonia,Fin de préstamo 30/06/2023,Jeff ChabotJ. Chabot
0,Hoffenheim,FC Augsburgo,"14,00 mill. €",Mergim BerishaM. Berisha
1,Hoffenheim,Fenerbahce,"12,30 mill. €",Attila SzalaiA. Szalai
2,Hoffenheim,Mainz,"10,00 mill. €",Anton StachA. Stach
3,Hoffenheim,FC Schalke 04,"3,00 mill. €",Marius BülterM. Bülter
4,Hoffenheim,SC Paderborn,"1,50 mill. €",Julian JustvanJ. Justvan
5,Hoffenheim,Burnley,"Coste de préstamo: 1,50 mill. €",Wout WeghorstW. Weghorst
6,Hoffenheim,Ajax,Libre,Florian GrillitschF. Grillitsch
7,Hoffenheim,Hoffenheim II,-,Joshua QuarshieJ. Quarshie
8,Hoffenheim,Hoffenheim II,-,Bambasé ContéB. Conté
9,Hoffenheim,Hannover 96,Fin de préstamo 30/06/2023,Maximilian BeierM. Beier
10,Hoffenheim,FC Basilea,Fin de préstamo 30/06/2023,Kasim AdamsK. Adams
11,Hoffenheim,Ceará SC,Fin de préstamo 01/07/2023,Lucas RibeiroLucas Ribeiro
12,Hoffenheim,Olympiakos,Fin de préstamo 30/06/2023,Diadié SamassékouD. Samassékou
13,Hoffenheim,Bolonia,Fin de préstamo 30/06/2023,Stefan PoschS. Posch
14,Hoffenheim,PEC Zwolle,Fin de préstamo 30/06/2023,Melayro BogardeM. Bogarde
15,Hoffenheim,Greuther Fürth,Fin de préstamo 30/06/2023,Marco JohnM. John
0,RB Leipzig,Hoffenheim,"24,00 mill. €",Christoph BaumgartnerC. Baumgartner
1,VfB Stuttgart,Hoffenheim,"5,50 mill. €",Angelo StillerA. Stiller
2,Bolonia,Hoffenheim,"5,00 mill. €",Stefan PoschS. Posch
3,Shabab Al-Ahli,Hoffenheim,"1,50 mill. €",Munas DabburM. Dabbur
4,Colonia,Hoffenheim,Libre,Philipp PentkeP. Pentke
5,Ceará SC,Hoffenheim,Libre,Lucas RibeiroLucas Ribeiro
6,Austria Viena,Hoffenheim,Préstamo,Fisnik AsllaniF. Asllani
7,Burnley,Hoffenheim,Préstamo,Jacob Bruun LarsenJ. Bruun Larsen
8,Hannover 96,Hoffenheim,Préstamo,Muhammed DamarM. Damar
9,Sin equipo,Hoffenheim,-,Sebastian RudyS. Rudy
10,Hoffenheim II,Hoffenheim,-,Melayro BogardeM. Bogarde
11,Sin equipo,Hoffenheim,-,Ermin BicakcicE. Bicakcic
12,Dallas,Hoffenheim,Fin de préstamo 30/06/2023,Justin CheJ. Che
13,RB Leipzig,Hoffenheim,Fin de préstamo 30/06/2023,AngeliñoAngeliño
14,Sporting Lisboa,Hoffenheim,Fin de préstamo 30/06/2023,Eduardo QuaresmaE. Quaresma
15,Sevilla FC,Hoffenheim,Fin de préstamo 30/06/2023,Thomas DelaneyT. Delaney
16,Niza,Hoffenheim,Fin de préstamo 30/06/2023,Kasper DolbergK. Dolberg
0,Werder Bremen,Círculo Brujas,"4,00 mill. €",Olivier DemanO. Deman
1,Werder Bremen,Union SG,"2,00 mill. €",Senne LynenS. Lynen
2,Werder Bremen,F. Düsseldorf,Libre,Dawid KownackiD. Kownacki
3,Werder Bremen,Liverpool,Libre,Naby KeïtaN. Keïta
4,Werder Bremen,Eintracht,Préstamo,Rafael BorréR. Borré
5,Werder Bremen,Jahn Regensburg,Fin de préstamo 30/06/2023,Oscar SchönfelderO. Schönfelder
6,Werder Bremen,SC Freiburg II,Fin de préstamo 30/06/2023,Yannik EngelhardtY. Engelhardt
7,Werder Bremen,Dynamo Dresden,Fin de préstamo 30/06/2023,Kyu-hyun ParkK. Park
8,Werder Bremen,SV Elversberg,Fin de préstamo 30/06/2023,Nick WoltemadeN. Woltemade
9,Werder Bremen,1.FC K'lautern,Fin de préstamo 30/06/2023,Nicolai RappN. Rapp
10,Werder Bremen,Millwall,Fin de préstamo 30/06/2023,Oliver BurkeO. Burke
11,Werder Bremen,B. Dortmund II,Fin de préstamo 30/06/2023,Justin NjinmahJ. Njinmah
0,Bor. Dortmund,Werder Bremen,"13,00 mill. €",Niclas FüllkrugN. Füllkrug
1,Leeds,Werder Bremen,"6,50 mill. €",Ilia GruevI. Gruev
2,Toulouse,Werder Bremen,"2,50 mill. €",Niklas SchmidtN. Schmidt
3,Bor. M'gladbach,Werder Bremen,"2,00 mill. €",Fabio ChiarodiaF. Chiarodia
4,Birmingham,Werder Bremen,"1,50 mill. €",Lee BuchananL. Buchanan
5,SC Freiburg II,Werder Bremen,900 mil €,Yannik EngelhardtY. Engelhardt
6,Jahn Regensburg,Werder Bremen,260 mil €,Oscar SchönfelderO. Schönfelder
7,Dynamo Dresden,Werder Bremen,150 mil €,Kyu-hyun ParkK. Park
8,Viborg FF,Werder Bremen,?,Jean Manuel MbomJ. Mbom
9,FC Volendam,Werder Bremen,Préstamo,Mio BackhausM. Backhaus
10,Heidenheim,Werder Bremen,Préstamo,Eren DinkciE. Dinkci
11,Birmingham,Werder Bremen,Préstamo,Oliver BurkeO. Burke
12,Juve Next Gen,Werder Bremen,Préstamo,Dikeni SalifouD. Salifou
13,VfL Wolfsburgo,Werder Bremen,Fin de préstamo 30/06/2023,Maximilian PhilippM. Philipp
0,VfL Bochum,1.FC Magdeburg,"1,10 mill. €",Moritz-Broni KwartengM. Kwarteng
1,VfL Bochum,Vitesse,750 mil €,Maximilian WittekM. Wittek
2,VfL Bochum,RB Salzburgo,600 mil €,BernardoBernardo
3,VfL Bochum,FC St. Pauli,Libre,Lukas DaschnerL. Daschner
4,VfL Bochum,SC Verl,Libre,Niclas ThiedeN. Thiede
5,VfL Bochum,Bor. Dortmund,Libre,Felix PasslackF. Passlack
6,VfL Bochum,Grasshoppers,Libre,Noah LoosliN. Loosli
7,VfL Bochum,Vitesse,Libre,Matus BeroM. Bero
8,VfL Bochum,SC Friburgo,Préstamo,Keven SchlotterbeckK. Schlotterbeck
9,VfL Bochum,RC Celta,Préstamo,Gonçalo PaciênciaG. Paciência
10,VfL Bochum,VfL Bochum U19,-,Mats PannewigM. Pannewig
11,VfL Bochum,Nîmes,Fin de préstamo 30/06/2023,Lys MoussetL. Mousset
12,VfL Bochum,Wolfsberger AC,Fin de préstamo 30/06/2023,Tim OermannT. Oermann
13,VfL Bochum,1.FC Nürnberg,Fin de préstamo 30/06/2023,Jannes HornJ. Horn
14,VfL Bochum,RW Essen,Fin de préstamo 30/06/2023,Moritz RömlingM. Römling
15,VfL Bochum,SKN St. Pölten,Fin de préstamo 30/06/2023,Luis HartwigL. Hartwig
0,1.FC Nürnberg,VfL Bochum,Libre,Jannes HornJ. Horn
1,BSC Young Boys,VfL Bochum,Libre,Silvère GanvoulaS. Ganvoula
2,OFI Creta,VfL Bochum,Libre,Vasilios LampropoulosV. Lampropoulos
3,Wieczysta,VfL Bochum,Libre,Jacek GoralskiJ. Goralski
4,FC St. Pauli,VfL Bochum,?,Simon ZollerS. Zoller
5,KV Oostende,VfL Bochum,?,Luis HartwigL. Hartwig
6,Wuppertaler SV,VfL Bochum,Préstamo,Paul GraveP. Grave
7,Antalyaspor,VfL Bochum,Préstamo,Gerrit HoltmannG. Holtmann
8,Sin equipo,VfL Bochum,-,Konstantinos StafylidisK. Stafylidis
9,Real Valladolid,VfL Bochum,Fin de préstamo 30/06/2023,Saidy JankoS. Janko
10,Olympiakos,VfL Bochum,Fin de préstamo 30/06/2023,Pierre KundeP. Kunde
11,SC Friburgo,VfL Bochum,Fin de préstamo 30/06/2023,Keven SchlotterbeckK. Schlotterbeck
12,Hamburgo,VfL Bochum,Fin de préstamo 30/06/2023,Marko JohanssonM. Johansson
13,Unión Berlín,VfL Bochum,Fin de préstamo 30/06/2023,Dominique HeintzD. Heintz
0,FC Augsburgo,Fenerbahce,"4,00 mill. €",Mergim BerishaM. Berisha
1,FC Augsburgo,Karlsruher SC,"2,50 mill. €",Tim BreithauptT. Breithaupt
2,FC Augsburgo,Darmstadt 98,"2,20 mill. €",Phillip TietzP. Tietz
3,FC Augsburgo,Unión Berlín,950 mil €,Sven MichelS. Michel
4,FC Augsburgo,Arm. Bielefeld,Libre,Masaya OkugawaM. Okugawa
5,FC Augsburgo,Darmstadt 98,Libre,Patric PfeifferP. Pfeiffer
6,FC Augsburgo,Mainz,Libre,Finn DahmenF. Dahmen
7,FC Augsburgo,Tottenham,Préstamo,Japhet TangangaJ. Tanganga
8,FC Augsburgo,Fulham,Préstamo,Kevin MbabuK. Mbabu
9,FC Augsburgo,FC Augsburg U19,-,Marcel LubikM. Lubik
10,FC Augsburgo,FC Augsburg U19,-,Mert KömürM. Kömür
11,FC Augsburgo,FC Ingolstadt,Fin de préstamo 30/06/2023,Tim CivejaT. Civeja
12,FC Augsburgo,Brøndby IF,Fin de préstamo 30/06/2023,Frederik WintherF. Winther
13,FC Augsburgo,SV Sandhausen,Fin de préstamo 30/06/2023,Raphael FrambergerR. Framberger
14,FC Augsburgo,Wolfsberger AC,Fin de préstamo 30/06/2023,Maurice MaloneM. Malone
15,FC Augsburgo,A. Lustenau,Fin de préstamo 30/06/2023,Henri KoudossouH. Koudossou
16,FC Augsburgo,FC Groningen,Fin de préstamo 30/06/2023,Ricardo PepiR. Pepi
17,FC Augsburgo,RW Essen,Fin de préstamo 30/06/2023,Felix GötzeF. Götze
18,FC Augsburgo,Jahn Regensburg,Fin de préstamo 30/06/2023,Lasse GüntherL. Günther
19,FC Augsburgo,NK Varazdin,Fin de préstamo 30/06/2023,Jozo StanicJ. Stanic
0,Hoffenheim,FC Augsburgo,"14,00 mill. €",Mergim BerishaM. Berisha
1,PSV Eindhoven,FC Augsburgo,"11,00 mill. €",Ricardo PepiR. Pepi
2,FC Basilea,FC Augsburgo,"2,00 mill. €",Maurice MaloneM. Malone
3,RW Essen,FC Augsburgo,100 mil €,Felix GötzeF. Götze
4,Ankaragücü,FC Augsburgo,Libre,Rafal GikiewiczR. Gikiewicz
5,FSV Zwickau,FC Augsburgo,Libre,Benjamin LeneisB. Leneis
6,Saarbrücken,FC Augsburgo,?,Tim CivejaT. Civeja
7,Arm. Bielefeld,FC Augsburgo,?,Noah Joel Sarenren BazeeN. Sarenren Bazee
8,FC St. Gallen,FC Augsburgo,?,Jozo StanicJ. Stanic
9,ADO Den Haag,FC Augsburgo,Préstamo,Henri KoudossouH. Koudossou
10,Wehen Wiesbaden,FC Augsburgo,Préstamo,Lasse GüntherL. Günther
11,SV Sandhausen,FC Augsburgo,Préstamo,Daniel KleinD. Klein
12,Retirado,FC Augsburgo,-,Julian BaumgartlingerJ. Baumgartlinger
13,Retirado,FC Augsburgo,-,Tobias StroblT. Strobl
14,Sin equipo,FC Augsburgo,-,André HahnA. Hahn
15,Sin equipo,FC Augsburgo,-,Daniel CaligiuriD. Caligiuri
16,Génova,FC Augsburgo,Fin de préstamo 30/06/2023,Kelvin YeboahK. Yeboah
17,Sporting B,FC Augsburgo,Fin de préstamo 15/08/2023,Renato VeigaR. Veiga
18,Fenerbahce,FC Augsburgo,Fin de préstamo 30/06/2023,Mergim BerishaM. Berisha
0,VfB Stuttgart,Rennes,"9,00 mill. €",Serhou GuirassyS. Guirassy
1,VfB Stuttgart,Hoffenheim,"5,50 mill. €",Angelo StillerA. Stiller
2,VfB Stuttgart,SC Friburgo,"2,80 mill. €",Woo-yeong JeongW. Jeong
3,VfB Stuttgart,Vojvodina,"1,20 mill. €",Jovan MilosevicJ. Milosevic
4,VfB Stuttgart,Bayern Múnich,"Coste de préstamo: 1,00 mill. €",Alexander NübelA. Nübel
5,VfB Stuttgart,Brighton,Coste de préstamo: 700 mil €,Deniz UndavD. Undav
6,VfB Stuttgart,Hertha Berlín,500 mil €,Maximilian MittelstädtM. Mittelstädt
7,VfB Stuttgart,FC St. Gallen,450 mil €,Matej MaglicaM. Maglica
8,VfB Stuttgart,Unión Berlín,Coste de préstamo: 200 mil €,Jamie LewelingJ. Leweling
9,VfB Stuttgart,Toulouse,Préstamo,Anthony RouaultA. Rouault
10,VfB Stuttgart,FC St. Gallen,Préstamo,Leonidas StergiouL. Stergiou
11,VfB Stuttgart,VfB Stuttg. U19,-,Dennis SeimenD. Seimen
12,VfB Stuttgart,Blackburn,Fin de préstamo 30/06/2023,Clinton MolaC. Mola
13,VfB Stuttgart,Nordsjælland,Fin de préstamo 30/06/2023,Wahid FaghirW. Faghir
14,VfB Stuttgart,Vitesse,Fin de préstamo 30/06/2023,Mohamed SankohM. Sankoh
15,VfB Stuttgart,Académico Viseu,Fin de préstamo 30/06/2023,Roberto MassimoR. Massimo
